ID,Dataset,Ground Truth
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Claims: Scotland Yard has reportedly interviewed the wife of a soldier that said Princess Diana was assassinated by the SAS .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Prince Charles and Mohamed Al Fayed are being contacted by police as they assess claims that the SAS murdered Princess Diana.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Scotland Yard said they are also getting in touch with Lord Justice Scott Baker, the judge who presided over the inquest into her death."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Diana, 36, Mr Al Fayed's son Dodi, 42, and chauffeur Henri Paul, 41, all died in a crash in Paris in August 1997."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Police are currently carrying out a 'scoping exercise' as they look into claims that the trio were murdered by a member of the British Military.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,They have not launched a full investigation. Royal .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,bodyguards and MPs have brushed off accusations that the Princess of .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Wales' death 16 years ago was carried out by British special . forces who then 'covered it up'.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,The sensational allegation surfaced in the second court martial of Sergeant .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Danny Nightingale, the SAS sniper convicted of illegally stashing a ."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,pistol and 338 bullets in his bedroom.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"The claim was contained in a letter from the parents-in-law of Soldier N, Sgt Nightingale's former housemate, which was sent to the SAS's commanding officer in September 2011."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Scotland Yard confirmed in a brief statement this morning that they will be contacting members of the Royal family to inform them about the new developments.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"'We are in the process of notifying Princess Diana's family, the family of Dodi Al Fayed and Lord Justice Scott Baker,' a spokesman said."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Contacted: Police will be getting in touch with Prince Charles (left) and Mohamed Al Fayed (right) to inform them about the 'scoping exercise' they are carrying out into claims Diana was murdered .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Princess Diana and with Dodi Fayed (pictured together on the night they died) were killed alongside Henri Paul when the car crashed in a Paris tunnel .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,Scotland Yard routinely contact relevant parties to keep them informed about what is going on when there are new developments in a historic case.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,The . eight-page correspondence claims Soldier N boasted it was the SAS that .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,had ‘arranged Princess Diana’s death’ and that it had been ‘covered up’.
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,The families of Henri Paul and Dodi al Fayed (pictured with Princess Diana) have always believed there was a murder plot .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"Sergeant . Nightingale, 38, was found guilty last month of illegally possessing a ."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,pistol and ammunition at a Hereford house he shared with Soldier N. Soldier .
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"N, who is serving a custodial sentence for possessing firearms at the ."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,"same address, was originally reported to the police by his wife, from . whom he is now separated."
2090f28d61a7a831871b13bfad5a3265301bdcb0,CNN/Daily Mail,The letter was sent to Soldier N’s .
